content_id,client_id,is_declining_label,decline_score,model_rank,review_priority,review_outcome
content_3217cbceb5e9,client_f74efabef1,1,0.9863610124464436,69,Medium,Pending human review
content_019611fcc5f5,client_f74efabef1,1,0.9852209171307489,70,Medium,Pending human review
content_4e59c75dc74c,client_f74efabef1,1,0.9848898065691476,71,Medium,Pending human review
content_d67b81b7f4ef,client_a88a7902cb,1,0.9845616751473582,72,Medium,Pending human review
content_38b3f0575991,client_f74efabef1,1,0.9845326008568606,73,Medium,Pending human review
content_d2d4f3955d5c,client_f74efabef1,1,0.9842042369931356,74,Medium,Pending human review
content_ad738756610d,client_f74efabef1,1,0.9835215586439299,75,Medium,Pending human review
content_5bfda3888862,client_8b940be7fb,1,0.9824891469205551,76,Medium,Pending human review
content_43d81b04b3e3,client_a88a7902cb,1,0.982135076752313,77,Medium,Pending human review
content_19508a160b95,client_f74efabef1,1,0.9814125700011127,78,Medium,Pending human review
content_477f7892c1f1,client_f74efabef1,1,0.9811592210408016,79,Medium,Pending human review
content_7a25e5e56a63,client_a88a7902cb,1,0.9799560838853452,80,Medium,Pending human review
content_ab15782389ad,client_f74efabef1,1,0.9791487603578891,81,Medium,Pending human review
content_1810c766df73,client_f74efabef1,1,0.9790742913765521,82,Medium,Pending human review
content_22eeb7d4a605,client_f74efabef1,1,0.9786541911012941,83,Medium,Pending human review
content_76872f72fde2,client_f74efabef1,1,0.977856139707646,84,Medium,Pending human review
content_8d8393828c96,client_a88a7902cb,1,0.9767314377878991,85,Medium,Pending human review
content_239aa96b5aac,client_f74efabef1,1,0.9764182402000013,86,Medium,Pending human review
content_f1a6a49b0df6,client_a88a7902cb,1,0.9759487503096314,87,Medium,Pending human review
content_1da5699a918e,client_8b940be7fb,1,0.9741870834444517,88,Medium,Pending human review
content_121291ecac29,client_a88a7902cb,1,0.9738893467972947,89,Medium,Pending human review
content_dc448aff1d7d,client_a88a7902cb,1,0.9732336010392846,90,Medium,Pending human review
content_3da0a6df2e67,client_f74efabef1,1,0.9727321492262856,91,Medium,Pending human review
content_b5ae0cc25eff,client_f74efabef1,1,0.9726084399095228,92,Medium,Pending human review
content_04b16d5c3356,client_f74efabef1,1,0.9724175562592521,93,Medium,Pending human review
content_5169968dc4c5,client_f74efabef1,1,0.971469637147092,94,Medium,Pending human review
content_df7af7f580a2,client_f74efabef1,1,0.9711796866935268,95,Medium,Pending human review
content_96b4758021c4,client_f74efabef1,1,0.9708192413167167,96,Medium,Pending human review
content_27cf0d177c2e,client_f74efabef1,1,0.9695057414490682,97,Medium,Pending human review
content_829a902cef34,client_a88a7902cb,1,0.9692263212190858,98,Medium,Pending human review
content_6c04ceea8f46,client_f74efabef1,1,0.9682375059592908,99,Medium,Pending human review
content_237a1cc242a4,client_a88a7902cb,1,0.9680312393184436,100,Medium,Pending human review
